"00998","United States (Metropolitan Portion)"," ","200","Gross domestic product (GDP) by metropolitan area","1","...","All industry total",9569270,9896616,10364586,11048543,11806328,12498023,13063208,13258020,12985249,13459787,13932364,14530716,15074218,15678767
"00998","United States (Metropolitan Portion)"," ","200","Gross domestic product (GDP) by metropolitan area","2","..."," Private industries",8399959,8657084,9055988,9665563,10355754,10976820,11459094,11572464,11248797,11665781,12113766,12694255,13219677,13795560
"00998","United States (Metropolitan Portion)"," ","200","Gross domestic product (GDP) by metropolitan area","3","11","  Agriculture, forestry, fishing, and hunting",53597,52478,60469,73112,67233,69525,74753,75532,70243,79703,93351,91836,105898,98120
"00998","United States (Metropolitan Portion)"," ","200","Gross domestic product (GDP) by metropolitan area","4","111-112","   Farms",40013,38845,46037,58219,52185,51114,56499,57427,52274,60143,73298,69840,83131,"(NA)"
"00998","United States (Metropolitan Portion)"," ","200","Gross domestic product (GDP) by metropolitan area","5","113-115","   Forestry, fishing, and related activities",13584,13633,14433,14893,15047,18411,18254,18105,17969,19560,20054,21996,22766,"(NA)"
"00998","United States (Metropolitan Portion)"," ","200","Gross domestic product (GDP) by metropolitan area","6","21","  Mining",96464,86469,108290,129414,176397,209569,239470,311513,213493,240607,290169,297931,327422,342172
"00998","United States (Metropolitan Portion)"," ","200","Gross domestic product (GDP) by metropolitan area","7","211","   Oil and gas extraction",68716,62076,82113,98872,136351,155648,177715,245012,157447,177785,214817,221579,248801,"(NA)"
"00998","United States (Metropolitan Portion)"," ","200","Gross domestic product (GDP) by metropolitan area","8","212","   Mining, except oil and gas",13385,13457,14259,16822,21361,24981,27507,28158,28972,33408,38647,36096,36150,"(NA)"
"00998","United States (Metropolitan Portion)"," ","200","Gross domestic product (GDP) by metropolitan area","9","213","   Support activities for mining",14363,10936,11917,13720,18685,28939,34248,38343,27073,29414,36704,40257,42471,"(NA)"
"00998","United States (Metropolitan Portion)"," ","200","Gross domestic product (GDP) by metropolitan area","10","22","  Utilities",156437,153116,158186,171278,170008,195036,199446,201638,211321,223939,228031,222409,232079,244773
"00998","United States (Metropolitan Portion)"," ","200","Gross domestic product (GDP) by metropolitan area","11","23","  Construction",440425,447147,476999,532450,593366,633125,647370,589748,519096,484501,488049,523986,554056,583863
"00998","United States (Metropolitan Portion)"," ","200","Gross domestic product (GDP) by metropolitan area","12","31-33","  Manufacturing",1266452,1257727,1311309,1386850,1464351,1554099,1602388,1569796,1494984,1583959,1645740,1717938,1744614,1797015
"00998","United States (Metropolitan Portion)"," ","200","Gross domestic product (GDP) by metropolitan area","13","...","   Durable goods manufacturing",722818,719329,747400,780801,824974,868363,892617,864487,769971,837727,875813,916328,944912,984754
"00998","United States (Metropolitan Portion)"," ","200","Gross domestic product (GDP) by metropolitan area","14","321","    Wood products manufacturing",15471,15375,16377,18437,19889,18197,16587,14205,11542,11977,11979,12794,13913,"(NA)"
"00998","United States (Metropolitan Portion)"," ","200","Gross domestic product (GDP) by metropolitan area","15","327","    Nonmetallic mineral products manufacturing",33391,33825,33818,36615,39776,41285,41252,35371,29705,28645,28375,30574,31998,"(NA)"
